,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
191,1304047,2,10,6,SS Iyer,RA Jadeja,AM Rahane,,0,0,0,0,0,,,,Kolkata Knight Riders
192,1304047,2,11,1,AM Rahane,MJ Santner,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
193,1304047,2,11,2,SS Iyer,MJ Santner,AM Rahane,,1,0,1,0,0,,,,Kolkata Knight Riders
194,1304047,2,11,3,AM Rahane,MJ Santner,SS Iyer,,2,0,2,0,0,,,,Kolkata Knight Riders
195,1304047,2,11,4,AM Rahane,MJ Santner,SS Iyer,,0,0,0,0,1,AM Rahane,caught,RA Jadeja,Kolkata Knight Riders
196,1304047,2,11,5,SW Billings,MJ Santner,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
197,1304047,2,11,6,SS Iyer,MJ Santner,SW Billings,,2,0,2,0,0,,,,Kolkata Knight Riders
198,1304047,2,12,1,SW Billings,RA Jadeja,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
199,1304047,2,12,2,SS Iyer,RA Jadeja,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
200,1304047,2,12,3,SW Billings,RA Jadeja,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
201,1304047,2,12,4,SW Billings,RA Jadeja,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
202,1304047,2,12,5,SW Billings,RA Jadeja,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
203,1304047,2,12,6,SS Iyer,RA Jadeja,SW Billings,,0,0,0,0,0,,,,Kolkata Knight Riders
204,1304047,2,13,1,SW Billings,MJ Santner,SS Iyer,,2,0,2,0,0,,,,Kolkata Knight Riders
205,1304047,2,13,2,SW Billings,MJ Santner,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
206,1304047,2,13,3,SW Billings,MJ Santner,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
207,1304047,2,13,4,SS Iyer,MJ Santner,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
208,1304047,2,13,5,SW Billings,MJ Santner,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
209,1304047,2,13,6,SS Iyer,MJ Santner,SW Billings,,0,0,0,0,0,,,,Kolkata Knight Riders
210,1304047,2,14,1,SW Billings,RA Jadeja,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
211,1304047,2,14,2,SW Billings,RA Jadeja,SS Iyer,,2,0,2,0,0,,,,Kolkata Knight Riders
212,1304047,2,14,3,SW Billings,RA Jadeja,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
213,1304047,2,14,4,SS Iyer,RA Jadeja,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
214,1304047,2,14,5,SW Billings,RA Jadeja,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
215,1304047,2,14,6,SS Iyer,RA Jadeja,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
216,1304047,2,15,1,SS Iyer,DJ Bravo,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
217,1304047,2,15,2,SW Billings,DJ Bravo,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
218,1304047,2,15,3,SW Billings,DJ Bravo,SS Iyer,,2,0,2,0,0,,,,Kolkata Knight Riders
219,1304047,2,15,4,SW Billings,DJ Bravo,SS Iyer,,4,0,4,0,0,,,,Kolkata Knight Riders
220,1304047,2,15,5,SW Billings,DJ Bravo,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
221,1304047,2,15,6,SS Iyer,DJ Bravo,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
222,1304047,2,16,1,SS Iyer,RA Jadeja,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
223,1304047,2,16,2,SW Billings,RA Jadeja,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
224,1304047,2,16,3,SW Billings,RA Jadeja,SS Iyer,,6,0,6,0,0,,,,Kolkata Knight Riders
225,1304047,2,16,4,SW Billings,RA Jadeja,SS Iyer,,1,0,1,0,0,,,,Kolkata Knight Riders
226,1304047,2,16,5,SS Iyer,RA Jadeja,SW Billings,,1,0,1,0,0,,,,Kolkata Knight Riders
227,1304047,2,16,6,SW Billings,RA Jadeja,SS Iyer,,0,0,0,0,0,,,,Kolkata Knight Riders
228,1304047,2,17,1,SS Iyer,DJ Bravo,SW Billings,,0,0,0,0,0,,,,Kolkata Knight Riders
